time_s,reference_1,reference_2,reference_3,position_x_m,position_y_m,position_z_m,angle_roll_rad,angle_pitch_rad,angle_yaw_rad,motor_command_1,motor_command_2,motor_command_3,motor_command_4,rotor_speed_1_radps,rotor_speed_2_radps,rotor_speed_3_radps,rotor_speed_4_radps,event_code,external_torque_body_x_nm,external_torque_body_y_nm,external_torque_body_z_nm
0.6,0.0,0.0,0.18,-3.6755336845212656e-12,1.0106772351356094e-11,8.359349194419042e-05,5.124709661557063e-10,1.8218311952938482e-10,-8.00781718942293e-11,2.962833513841451,-2.962833497843105,2.962833491397011,-2.962833508527662,2.962788518608268,-2.9627885026220366,2.962788496180723,-2.962788513299261,0.0,0.0,0.0,0.0
0.61,0.0,0.0,0.183,-3.888481571379991e-12,1.0695516672913876e-11,8.483533136291025e-05,5.47525525366485e-10,1.9463412042751688e-10,-8.121821579443066e-11,2.99771013266279,-2.997710115655106,2.997710108839896,-2.997710126996006,2.997665136252487,-2.997665119256737,2.997665112446208,-2.997665130590385,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.186,-4.107619249512688e-12,1.1302014585498335e-11,8.607322158118847e-05,5.842646959828987e-10,2.0768041036651703e-10,-8.23660324539365e-11,3.032766689187443,-3.032766671129742,3.032766663930692,-3.032766683153049,3.032721692729333,-3.0327216746833128,3.032721667488802,-3.0327216866994804,0.0,0.0,0.0,0.0
0.63,0.0,0.0,0.189,-4.332904060240143e-12,1.1926160532124577e-11,8.730721227227026e-05,6.227301766772728e-10,2.2133688776937279e-10,-8.35221708667969e-11,3.06800318331405,-3.0680031641650096,3.068003156567136,-3.0680031768971805,3.0679581881193148,-3.0679581689816278,3.06795816138811,-3.067958181706802,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.192,-4.5642933448831416e-12,1.256784895580768e-11,8.853735310940068e-05,6.629636661219333e-10,2.3561845105907117e-10,-8.468718002706735e-11,3.103419614941232,-3.103419594658885,3.1034195866469445,-3.103419608126768,3.1033746225029426,-3.103374602231548,3.103374594223736,-3.1033746156926085,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.195,-4.786055084543274e-12,1.3182436763102502e-11,8.976369965022571e-05,7.041478134229856e-10,2.502365519572424e-10,-8.584917589914985e-11,3.1390159854845465,-3.139015964058912,3.139015955629612,-3.139015978269154,3.1389709938265886,-3.1389709724114114,3.1389709639859964,-3.138970986615081,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.198,-5.006613646875155e-12,1.3793853825415362e-11,9.098629839237492e-05,7.467879177563851e-10,2.653698489876956e-10,-8.701541717002144e-11,3.174792294024007,-3.174792271426849,3.174792262570047,-3.1747922863976026,3.174747303322487,-3.174747280735209,3.174747271882016,-3.174747295699692,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.201,-5.225600301004697e-12,1.4401068961512504e-11,9.220519913138897e-05,7.909078241551977e-10,2.8102693403634136e-10,-8.818619443790344e-11,3.210748540489813,-3.2107485166929326,3.21074850739848,-3.210748532442313,3.2107035510267945,-3.210703527239129,3.2107035179479744,-3.2107035429825928,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.204,-5.441788533593621e-12,1.500061599489967e-11,9.342045198452576e-05,8.364844109410697e-10,2.9719980868485846e-10,-8.936111855151536e-11,3.2468847248950063,-3.246884699872021,3.2468846901304307,-3.2468847164169823,3.246839736858988,-3.2468397118444643,3.246839702105829,-3.246839728383919,0.0,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.207,-5.6538753311946884e-12,1.5588811587493834e-11,9.4632107097735e-05,8.834903677762956e-10,3.1387899493224116e-10,-9.053973973708467e-11,3.2832008472601446,-3.283200820986649,3.2832008107891557,-3.283200838342883,3.2831558607281384,-3.2831558344622604,3.2831558242673493,-3.283155851813458,0.0,0.0,0.0,0.0
