axis,time_s,reference_m,response_m,raw_sha256
X,9.73,0.0,2.77512971231493e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.74,0.0,2.62257984148136e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.75,0.0,2.47178258278444e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.76,0.0,2.32276931877768e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.77,0.0,2.17557126010056e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.78,0.0,2.03021944547849e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.79,0.0,1.88674474172282e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.8,0.0,1.7451778437309e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.81,0.0,1.60554927448598e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.82,0.0,1.46788938505725e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.83,0.0,1.33222835459987e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.84,0.0,1.19859619035495e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.85,0.0,1.06702272764952e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.86,0.0,9.3753762989658e-12,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.87,0.0,8.10170388595058e-12,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.88,0.0,6.84950323329882e-12,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.89,0.0,5.61906581771868e-12,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.9,0.0,4.41068139677799e-12,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.91,0.0,3.22463800890405e-12,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.92,0.0,2.06122197338365e-12,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.93,0.0,9.20717890363028e-13,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.94,0.0,-1.96591359152079e-13,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.95,0.0,-1.29042461329668e-12,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.96,0.0,-2.3605024293457e-12,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.97,0.0,-3.40654708371522e-12,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.98,0.0,-4.42828257196162e-12,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.99,0.0,-5.42543460878182e-12,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
