time_s,pp_cbf_off_minimum_distance_m,pp_cbf_on_minimum_distance_m,project_evaluation_distance_m,pp_cbf_off_cumulative_exposure_s,pp_cbf_on_cumulative_exposure_s
35.97,1.2806248393911188,1.121780391823401,0.6,2.040000000000001,0.0
35.980000000000004,1.280624839507693,1.1219377584186276,0.6,2.040000000000001,0.0
35.99,1.2806248396221118,1.1220949756965621,0.6,2.040000000000001,0.0
36.0,1.2806248397344138,1.122252027207661,0.6,2.040000000000001,0.0
36.01,1.2806248398446376,1.122408944584543,0.6,2.040000000000001,0.0
36.02,1.280624839952823,1.1225656954103567,0.6,2.040000000000001,0.0
36.03,1.2806248400590088,1.1227223113415552,0.6,2.040000000000001,0.0
36.04,1.2806248401632347,1.1228787760432413,0.6,2.040000000000001,0.0
36.050000000000004,1.2806248402655407,1.1230350737271064,0.6,2.040000000000001,0.0
36.06,1.2806248403659657,1.1231912204557961,0.6,2.040000000000001,0.0
36.07,1.2806248404645495,1.123347215683595,0.6,2.040000000000001,0.0
36.08,1.2806248405613312,1.1235030655892027,0.6,2.040000000000001,0.0
36.09,1.2806248406563507,1.1236587640729878,0.6,2.040000000000001,0.0
36.1,1.2806248407496468,1.123814310635274,0.6,2.040000000000001,0.0
36.11,1.2806248408412588,1.12396970924847,0.6,2.040000000000001,0.0
36.12,1.2806248409312253,1.1241249570697909,0.6,2.040000000000001,0.0
36.13,1.280624841019585,1.1242800547289074,0.6,2.040000000000001,0.0
36.14,1.2806248411063763,1.1244350235889122,0.6,2.040000000000001,0.0
36.15,1.2806248411916372,1.1245898282284794,0.6,2.040000000000001,0.0
36.160000000000004,1.2806248412754049,1.1247444807205282,0.6,2.040000000000001,0.0
36.17,1.280624841357717,1.124899002818132,0.6,2.040000000000001,0.0
36.18,1.2806248414386108,1.125053374168477,0.6,2.040000000000001,0.0
36.19,1.2806248415181216,1.125207578610265,0.6,2.040000000000001,0.0
36.2,1.280624841596286,1.125361655000508,0.6,2.040000000000001,0.0
36.21,1.2806248416731394,1.1255155675516506,0.6,2.040000000000001,0.0
36.22,1.2806248417487167,1.1256693464274818,0.6,2.040000000000001,0.0
36.230000000000004,1.2806248418230521,1.1258229588293507,0.6,2.040000000000001,0.0
36.24,1.2806248418961794,1.1259764426567314,0.6,2.040000000000001,0.0
36.25,1.2806248419681316,1.1261297624251978,0.6,2.040000000000001,0.0
36.26,1.2806248420389417,1.126282949631977,0.6,2.040000000000001,0.0
36.27,1.2806248421086408,1.126435988878507,0.6,2.040000000000001,0.0
36.28,1.2806248421772608,1.1265888642708717,0.6,2.040000000000001,0.0
36.29,1.2806248422448325,1.1267415907926668,0.6,2.040000000000001,0.0
36.300000000000004,1.2806248423113855,1.126894169354017,0.6,2.040000000000001,0.0
36.31,1.2806248423769486,1.1270466048815373,0.6,2.040000000000001,0.0
36.32,1.2806248424415512,1.1271988917531928,0.6,2.040000000000001,0.0
36.33,1.2806248425052205,1.127351029793383,0.6,2.040000000000001,0.0
36.34,1.2806248425679836,1.127503022464186,0.6,2.040000000000001,0.0
