time,referenceVector[3],quadChassisTest17_1.body.r_0[3],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],max_motor_q,q_domain_usage_percent
16.85,1.5,1.499643878812939,1.1109987700417483,1.1109987700417483,1.0,-0.0006610409383536,3600.0,222.30090163543554,6.175025045428765
16.9,1.5,1.4996453546672537,1.110999221751467,1.110999221751467,1.0,-0.000658383018437,3600.0,222.30090248991385,6.175025069164274
16.95,1.5,1.4996468217466556,1.1109996709641052,1.1109996709641052,1.0,-0.0006557398572981,3600.0,222.30090332854851,6.1750250924596815
17.0,1.5,1.4996482801439155,1.1110001177006157,1.1110001177006157,1.0,-0.0006531112732304,3600.0,222.30090415097104,6.175025115304751
17.05,1.5,1.4996497299498204,1.1110005619817065,1.1110005619817065,1.0,-0.000650497126497,3600.0,222.30090495600527,6.175025137666813
17.1,1.5,1.4996511712532707,1.1110010038277909,1.1110010038277909,1.0,-0.0006478973323844,3600.0,222.30090574130324,6.175025159480646
17.150000000000002,1.5,1.499652604141313,1.1110014432591069,1.1110014432591069,1.0,-0.0006453117610012,3600.0,222.30090651273727,6.175025180909369
17.2,1.5,1.499654028699156,1.1110018802956254,1.1110018802956254,1.0,-0.000642740183946,3600.0,222.30090726773525,6.175025201881534
17.25,1.5,1.4996554450101809,1.111002314957123,1.111002314957123,1.0,-0.0006401826190454,3600.0,222.30090800562567,6.175025222378491
17.3,1.5,1.4996568531560233,1.111002747263066,1.111002747263066,1.0,-0.0006376389753898,3600.0,222.3009087293036,6.175025242480656
17.35,1.5,1.4996582532166916,1.1110031772327864,1.1110031772327864,1.0,-0.0006351089652688,3600.0,222.3009094376511,6.175025262156975
17.400000000000002,1.5,1.499659645270604,1.1110036048853176,1.1110036048853176,1.0,-0.0006325926462588,3600.0,222.30091013256668,6.175025281460186
17.45,1.5,1.4996610293944503,1.111004030239552,1.111004030239552,1.0,-0.0006300899364782,3600.0,222.30091081407267,6.1750253003909075
17.5,1.5,1.499662405663453,1.1110044533140946,1.1110044533140946,1.0,-0.0006276005410019,3600.0,222.30091148004212,6.175025318890059
17.55,1.5,1.49966377415138,1.1110048741273888,1.1110048741273888,1.0,-0.0006251245006287,3600.0,222.3009121346785,6.175025337074403
17.6,1.5,1.4996651349305228,1.1110052926976268,1.1110052926976268,1.0,-0.0006226615322036,3600.0,222.30091277653003,6.175025354903612
17.650000000000002,1.5,1.4996664880719444,1.1110057090428145,1.1110057090428145,1.0,-0.0006202117903263,3600.0,222.30091340674764,6.175025372409657
17.7,1.5,1.4996678336452602,1.1110061231807546,1.1110061231807546,1.0,-0.0006177748850419,3600.0,222.30091402346457,6.175025389540683
17.75,1.5,1.4996691717188395,1.1110065351290537,1.1110065351290537,1.0,-0.0006153510813157,3600.0,222.30091462963358,6.175025406378711
17.8,1.5,1.4996705023596644,1.1110069449051545,1.1110069449051545,1.0,-0.0006129399332704,3600.0,222.30091522635007,6.175025422954169
17.85,1.5,1.499671825634124,1.1110073525262198,1.1110073525262198,1.0,-0.0006105414830322,3600.0,222.30091581220898,6.175025439228027
17.900000000000002,1.5,1.4996731416065094,1.1110077580092743,1.1110077580092743,1.0,-0.0006081556298624,3600.0,222.30091638825076,6.175025455229188
17.95,1.5,1.49967445034033,1.1110081613711815,1.1110081613711815,1.0,-0.0006057821947733,3600.0,222.30091695317884,6.175025470921635
18.0,1.5,1.4996757518981805,1.1110085626285355,1.1110085626285355,1.0,-0.0006034211745954,3600.0,222.30091751016928,6.175025486393591
18.05,1.5,1.4996770463416635,1.1110089617978065,1.1110089617978065,1.0,-0.0006010724620641,3600.0,222.3009180570636,6.1750255015851
